Date,Province,City or Regency,New Cases,New Deaths,New Recovered,Total Cases,Total Deaths,Total Recovered,Case Fatality Rate,Case Recovered Rate,Population
3/20/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/20/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/20/2020,Sulawesi Selatan,,0,0,0,2,0,5,0.00%,250.00%,9426885
3/20/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/20/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/21/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/21/2020,Banten,,0,0,2,6,13,155,216.67%,2583.33%,10722374
3/21/2020,DKI Jakarta,,8,3,6,81,41,91,50.62%,112.35%,10846145
3/21/2020,Daerah Istimewa Yogyakarta,,0,0,0,2,0,3,0.00%,150.00%,3631015
3/21/2020,,,81,6,3,450,38,20,8.44%,4.44%,265185520
3/21/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/21/2020,Jawa Barat,,5,0,0,50,8,68,16.00%,136.00%,45161325
3/21/2020,Jawa Tengah,,1,1,0,18,13,16,72.22%,88.89%,36364072
3/21/2020,Jawa Timur,,9,1,0,39,34,337,87.18%,864.10%,40479023
3/21/2020,Kalimantan Timur,,0,0,0,7,0,3,0.00%,42.86%,3552191
3/21/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/21/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/21/2020,Sulawesi Selatan,,0,0,0,2,0,5,0.00%,250.00%,9426885
3/21/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/21/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/22/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/22/2020,Banten,,0,2,0,6,15,155,250.00%,2583.33%,10722374
3/22/2020,DKI Jakarta,,2,0,3,83,41,94,49.40%,113.25%,10846145
3/22/2020,Daerah Istimewa Yogyakarta,,0,0,0,2,0,3,0.00%,150.00%,3631015
3/22/2020,,,64,10,9,514,48,29,9.34%,5.64%,265185520
3/22/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/22/2020,Jawa Barat,,3,3,1,53,11,69,20.75%,130.19%,45161325
3/22/2020,Jawa Tengah,,1,0,1,19,13,17,68.42%,89.47%,36364072
3/22/2020,Jawa Timur,,14,0,0,53,34,337,64.15%,635.85%,40479023
3/22/2020,Kalimantan Timur,,0,0,0,7,0,3,0.00%,42.86%,3552191
3/22/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/22/2020,Maluku,,1,0,0,1,1,1,100.00%,100.00%,1847097
3/22/2020,Papua,,2,0,0,2,1,2,50.00%,100.00%,4340348
3/22/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/22/2020,Sulawesi Selatan,,0,0,0,2,0,5,0.00%,250.00%,9426885
3/22/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/22/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/23/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/23/2020,Banten,,0,2,3,6,17,158,283.33%,2633.33%,10722374
3/23/2020,DKI Jakarta,,0,0,0,83,41,94,49.40%,113.25%,10846145
3/23/2020,Daerah Istimewa Yogyakarta,,0,1,0,2,1,3,50.00%,150.00%,3631015
3/23/2020,,,65,1,1,579,49,30,8.46%,5.18%,265185520
3/23/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/23/2020,Jawa Barat,,6,4,0,59,15,69,25.42%,116.95%,45161325
3/23/2020,Jawa Tengah,,3,0,0,22,13,17,59.09%,77.27%,36364072
3/23/2020,Jawa Timur,,2,1,0,55,35,337,63.64%,612.73%,40479023
3/23/2020,Kalimantan Timur,,1,0,0,8,0,3,0.00%,37.50%,3552191
3/23/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/23/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/23/2020,Maluku Utara,,1,0,0,1,0,0,0.00%,0.00%,1307803
3/23/2020,Papua,,0,0,0,2,1,2,50.00%,100.00%,4340348
3/23/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/23/2020,Sulawesi Selatan,,0,1,0,2,1,5,50.00%,250.00%,9426885
3/23/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/23/2020,Sumatera Selatan,,1,2,0,1,2,1,200.00%,100.00%,8217551
3/23/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/24/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/24/2020,Banten,,0,1,3,6,18,161,300.00%,2683.33%,10722374
3/24/2020,DKI Jakarta,,16,19,3,99,60,97,60.61%,97.98%,10846145
3/24/2020,Daerah Istimewa Yogyakarta,,0,0,0,2,1,3,50.00%,150.00%,3631015
3/24/2020,,,106,6,0,685,55,30,8.03%,4.38%,265185520
3/24/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/24/2020,Jawa Barat,,2,2,2,61,17,71,27.87%,116.39%,45161325
3/24/2020,Jawa Tengah,,3,1,1,25,14,18,56.00%,72.00%,36364072
3/24/2020,Jawa Timur,,3,1,0,58,36,337,62.07%,581.03%,40479023
3/24/2020,Kalimantan Timur,,0,0,0,8,0,3,0.00%,37.50%,3552191
3/24/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/24/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/24/2020,Maluku Utara,,0,0,0,1,0,0,0.00%,0.00%,1307803
3/24/2020,Papua,,0,0,0,2,1,2,50.00%,100.00%,4340348
3/24/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/24/2020,Sulawesi Selatan,,2,0,0,4,1,5,25.00%,125.00%,9426885
3/24/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/24/2020,Sumatera Selatan,,0,0,0,1,2,1,200.00%,100.00%,8217551
3/24/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/25/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/25/2020,Banten,,0,1,3,6,19,164,316.67%,2733.33%,10722374
3/25/2020,DKI Jakarta,,1,1,0,100,61,97,61.00%,97.00%,10846145
3/25/2020,Daerah Istimewa Yogyakarta,,1,1,0,3,2,3,66.67%,100.00%,3631015
3/25/2020,,,105,3,1,790,58,31,7.34%,3.92%,265185520
3/25/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/25/2020,Jawa Barat,,5,0,1,66,17,72,25.76%,109.09%,45161325
3/25/2020,Jawa Tengah,,23,1,1,48,15,19,31.25%,39.58%,36364072
3/25/2020,Jawa Timur,,9,0,1,67,36,338,53.73%,504.48%,40479023
3/25/2020,Kalimantan Timur,,0,0,0,8,0,3,0.00%,37.50%,3552191
3/25/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/25/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/25/2020,Maluku Utara,,0,0,0,1,0,0,0.00%,0.00%,1307803
3/25/2020,Papua,,0,0,0,2,1,2,50.00%,100.00%,4340348
3/25/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/25/2020,Sulawesi Selatan,,9,0,0,13,1,5,7.69%,38.46%,9426885
3/25/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/25/2020,Sumatera Selatan,,0,0,0,1,2,1,200.00%,100.00%,8217551
3/25/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/26/2020,Aceh,,1,0,0,1,0,1,0.00%,100.00%,5247257
3/26/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/26/2020,Banten,,0,0,4,6,19,168,316.67%,2800.00%,10722374
3/26/2020,DKI Jakarta,,57,2,0,157,63,97,40.13%,61.78%,10846145
3/26/2020,Daerah Istimewa Yogyakarta,,0,0,0,3,2,3,66.67%,100.00%,3631015
3/26/2020,,,103,20,4,893,78,35,8.73%,3.92%,265185520
3/26/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/26/2020,Jawa Barat,,5,1,0,71,18,72,25.35%,101.41%,45161325
3/26/2020,Jawa Tengah,,4,0,1,52,15,20,28.85%,38.46%,36364072
3/26/2020,Jawa Timur,,13,1,0,80,37,338,46.25%,422.50%,40479023
3/26/2020,Kalimantan Tengah,,2,0,0,2,2,39,100.00%,1950.00%,2570289
3/26/2020,Kalimantan Timur,,0,0,0,8,0,3,0.00%,37.50%,3552191
3/26/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/26/2020,Lampung,,2,0,0,2,0,0,0.00%,0.00%,9095591
3/26/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/26/2020,Maluku Utara,,0,0,0,1,0,0,0.00%,0.00%,1307803
3/26/2020,Papua,,4,0,0,6,1,2,16.67%,33.33%,4340348
3/26/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/26/2020,Sulawesi Selatan,,14,0,0,27,1,5,3.70%,18.52%,9426885
3/26/2020,Sulawesi Tengah,,1,0,0,1,0,0,0.00%,0.00%,2955567
3/26/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/26/2020,Sulawesi Utara,,1,0,1,1,1,5,100.00%,500.00%,2641884
3/26/2020,Sumatera Barat,,3,0,0,3,0,1,0.00%,33.33%,5519245
3/26/2020,Sumatera Selatan,,0,0,0,1,2,1,200.00%,100.00%,8217551
3/26/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/27/2020,Aceh,,3,0,0,4,0,1,0.00%,25.00%,5247257
3/27/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/27/2020,Banten,,25,2,3,31,21,171,67.74%,551.61%,10722374
3/27/2020,DKI Jakarta,,74,7,6,231,70,103,30.30%,44.59%,10846145
3/27/2020,Daerah Istimewa Yogyakarta,,1,0,0,4,2,3,50.00%,75.00%,3631015
3/27/2020,,,153,9,11,1046,87,46,8.32%,4.40%,265185520
3/27/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/27/2020,Jawa Barat,,16,3,1,87,21,73,24.14%,83.91%,45161325
3/27/2020,Jawa Tengah,,8,1,1,60,16,21,26.67%,35.00%,36364072
3/27/2020,Jawa Timur,,3,1,0,83,38,338,45.78%,407.23%,40479023
3/27/2020,Kalimantan Tengah,,0,0,0,2,2,39,100.00%,1950.00%,2570289
3/27/2020,Kalimantan Timur,,0,0,0,8,0,3,0.00%,37.50%,3552191
3/27/2020,Kepulauan Riau,,0,0,0,1,1,0,100.00%,0.00%,1929400
3/27/2020,Lampung,,1,0,0,3,0,0,0.00%,0.00%,9095591
3/27/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/27/2020,Maluku Utara,,0,0,0,1,0,0,0.00%,0.00%,1307803
3/27/2020,Papua,,0,0,0,6,1,2,16.67%,33.33%,4340348
3/27/2020,Papua Barat,,2,0,0,2,1,1,50.00%,50.00%,1140701
3/27/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/27/2020,Sulawesi Selatan,,2,0,0,29,1,5,3.45%,17.24%,9426885
3/27/2020,Sulawesi Tengah,,0,0,0,1,0,0,0.00%,0.00%,2955567
3/27/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/27/2020,Sulawesi Utara,,0,0,0,1,1,5,100.00%,500.00%,2641884
3/27/2020,Sumatera Barat,,2,0,0,5,0,1,0.00%,20.00%,5519245
3/27/2020,Sumatera Selatan,,0,0,0,1,2,1,200.00%,100.00%,8217551
3/27/2020,Sumatera Utara,,0,1,0,1,2,10,200.00%,1000.00%,14874889
3/28/2020,Aceh,,1,0,0,5,0,1,0.00%,20.00%,5247257
3/28/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/28/2020,Banten,,10,2,7,41,23,178,56.10%,434.15%,10722374
3/28/2020,DKI Jakarta,,48,9,9,279,79,112,28.32%,40.14%,10846145
3/28/2020,Daerah Istimewa Yogyakarta,,0,0,0,4,2,3,50.00%,75.00%,3631015
3/28/2020,,,109,15,13,1155,102,59,8.83%,5.11%,265185520
3/28/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/28/2020,Jawa Barat,,19,3,1,106,24,74,22.64%,69.81%,45161325
3/28/2020,Jawa Tengah,,15,2,2,75,18,23,24.00%,30.67%,36364072
3/28/2020,Jawa Timur,,14,2,2,97,40,340,41.24%,350.52%,40479023
3/28/2020,Kalimantan Tengah,,1,0,0,3,2,39,66.67%,1300.00%,2570289
3/28/2020,Kalimantan Timur,,5,0,0,13,0,3,0.00%,23.08%,3552191
3/28/2020,Kalimantan Utara,,2,0,0,2,0,0,0.00%,0.00%,648407
3/28/2020,Kepulauan Riau,,1,0,2,2,1,2,50.00%,100.00%,1929400
3/28/2020,Lampung,,0,0,0,3,0,0,0.00%,0.00%,9095591
3/28/2020,Maluku,,0,0,0,1,1,1,100.00%,100.00%,1847097
3/28/2020,Maluku Utara,,0,0,0,1,0,0,0.00%,0.00%,1307803
3/28/2020,Papua,,0,0,0,6,1,2,16.67%,33.33%,4340348
3/28/2020,Papua Barat,,0,0,0,2,1,1,50.00%,50.00%,1140701
3/28/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/28/2020,Sulawesi Barat,,1,0,0,1,0,0,0.00%,0.00%,1559984
3/28/2020,Sulawesi Selatan,,3,0,0,32,1,5,3.13%,15.63%,9426885
3/28/2020,Sulawesi Tengah,,1,0,0,2,0,0,0.00%,0.00%,2955567
3/28/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/28/2020,Sulawesi Utara,,0,0,0,1,1,5,100.00%,500.00%,2641884
3/28/2020,Sumatera Barat,,0,0,0,5,0,1,0.00%,20.00%,5519245
3/28/2020,Sumatera Selatan,,1,0,0,2,2,1,100.00%,50.00%,8217551
3/28/2020,Sumatera Utara,,0,0,0,1,2,10,200.00%,1000.00%,14874889
3/29/2020,Aceh,,0,0,0,5,0,1,0.00%,20.00%,5247257
3/29/2020,Bali,,1,0,0,3,2,3,66.67%,100.00%,4216171
3/29/2020,Banten,,2,2,2,43,25,180,58.14%,418.60%,10722374
3/29/2020,DKI Jakarta,,52,10,0,331,89,112,26.89%,33.84%,10846145
3/29/2020,Daerah Istimewa Yogyakarta,,0,0,0,4,2,3,50.00%,75.00%,3631015
3/29/2020,,,130,12,5,1285,114,64,8.87%,4.98%,265185520
3/29/2020,Jambi,,0,0,0,1,0,4,0.00%,400.00%,3493357
3/29/2020,Jawa Barat,,27,3,3,133,27,77,20.30%,57.89%,45161325
3/29/2020,Jawa Tengah,,11,3,0,86,21,23,24.42%,26.74%,36364072
3/29/2020,Jawa Timur,,12,1,28,109,41,368,37.61%,337.61%,40479023
3/29/2020,Kalimantan Barat,,7,0,2,7,2,3,28.57%,42.86%,5422814
3/29/2020,Kalimantan Tengah,,0,0,0,3,2,39,66.67%,1300.00%,2570289
3/29/2020,Kalimantan Timur,,0,0,0,13,0,3,0.00%,23.08%,3552191
3/29/2020,Kalimantan Utara,,0,0,0,2,0,0,0.00%,0.00%,648407
3/29/2020,Kepulauan Riau,,0,0,0,2,1,2,50.00%,100.00%,1929400
